"","female","pid_self","postvote_presvtwho","relig_import","ft_dem","ft_rep","health_2010hcr","age","vote.obama","democrat","republican","independent","support.aca"
"1201",1,1,1,0,"100","15",1,30,1,1,0,0,1
"1202",0,3,2,1,"40","60",2,38,0,0,0,1,0
"1203",1,1,NA,0,"40","30",3,33,NA,1,0,0,0
"1204",1,3,1,0,"60","0",1,52,1,0,0,1,1
"1205",0,3,NA,1,"60","50",2,49,NA,0,0,1,0
"1206",0,3,NA,0,"30","50",2,67,NA,0,0,1,0
"1207",0,3,NA,1,"15","70",3,67,NA,0,0,1,0
"1208",1,1,NA,0,"60","30",1,18,NA,1,0,0,1
"1209",0,1,1,0,"60","40",1,33,1,1,0,0,1
"1210",1,1,NA,0,"85","15",1,30,NA,1,0,0,1
"1211",1,2,NA,1,"60","70",3,19,NA,0,1,0,0
"1212",1,1,1,0,"30","15",1,55,1,1,0,0,1
"1213",1,3,2,1,"50","70",3,61,0,0,0,1,0
"1214",0,2,NA,0,"50","70",2,20,NA,0,1,0,0
"1215",1,3,1,1,"40","30",3,50,1,0,0,1,0
"1216",1,1,NA,0,"85","40",1,20,NA,1,0,0,1
"1217",0,2,NA,1,"15","70",2,40,NA,0,1,0,0
"1218",0,3,2,1,"50","50",3,24,0,0,0,1,0
"1219",0,1,1,0,"70","30",1,66,1,1,0,0,1
"1220",1,1,1,1,"85","15",1,34,1,1,0,0,1
"1221",1,3,1,0,"60","0",1,31,1,0,0,1,1
"1222",1,1,NA,1,"70","40",1,58,NA,1,0,0,1
"1223",0,3,NA,0,"60","12",1,30,NA,0,0,1,1
"1224",1,3,NA,0,"50","50",1,20,NA,0,0,1,1
"1225",0,1,NA,1,"55","40",1,32,NA,1,0,0,1
"1226",0,3,1,0,"70","40",1,33,1,0,0,1,1
"1227",0,2,NA,1,"15","30",2,19,NA,0,1,0,0
"1228",1,1,NA,1,"90","45",1,23,NA,1,0,0,1
"1229",1,2,1,0,"60","50",3,41,1,0,1,0,0
"1230",1,1,1,0,"85","40",1,29,1,1,0,0,1
"1231",0,NA,2,1,"30","85",2,55,0,NA,NA,NA,0
"1232",0,3,2,1,"50","60",2,27,0,0,0,1,0
"1233",0,1,1,1,"50","50",1,59,1,1,0,0,1
"1234",1,1,NA,1,"85","0",1,48,NA,1,0,0,1
"1235",0,3,1,0,"50","50",1,27,1,0,0,1,1
"1236",1,2,NA,1,"0","70",2,71,NA,0,1,0,0
"1237",1,2,NA,1,"70","85",3,22,NA,0,1,0,0
"1238",0,1,1,0,"85","30",1,30,1,1,0,0,1
"1239",1,1,NA,1,"100","0",1,50,NA,1,0,0,1
"1240",0,3,2,1,"40","60",2,47,0,0,0,1,0
"1241",0,1,1,1,"100","50",1,37,1,1,0,0,1
"1242",0,2,2,0,"40","70",2,81,0,0,1,0,0
"1243",0,1,1,0,"60","60",1,33,1,1,0,0,1
"1244",0,1,1,1,"85","15",1,62,1,1,0,0,1
"1245",1,2,2,1,"30","100",1,65,0,0,1,0,1
"1246",1,1,1,1,"100","60",1,29,1,1,0,0,1
"1247",1,1,1,1,"85","50",1,23,1,1,0,0,1
"1248",0,1,NA,1,"100","0",3,24,NA,1,0,0,0
"1249",0,3,NA,1,"15","50",2,60,NA,0,0,1,0
"1250",0,3,NA,1,"50","50",2,40,NA,0,0,1,0
"1251",1,1,NA,1,"100","15",1,47,NA,1,0,0,1
"1252",1,1,1,1,"85","30",3,31,1,1,0,0,0
"1253",1,1,2,1,"70","40",3,35,0,1,0,0,0
"1254",1,1,NA,1,"60","40",1,24,NA,1,0,0,1
"1255",1,1,1,1,"100","70",1,29,1,1,0,0,1
"1256",1,3,NA,0,"40","40",3,32,NA,0,0,1,0
"1257",0,1,1,1,"85","60",1,50,1,1,0,0,1
"1258",0,1,1,1,"100","0",1,63,1,1,0,0,1
"1259",1,1,1,1,"60","40",1,52,1,1,0,0,1
"1260",1,3,2,1,"50","50",2,44,0,0,0,1,0
"1261",0,3,NA,1,"60","15",2,64,NA,0,0,1,0
"1262",0,1,1,1,"70","15",3,63,1,1,0,0,0
"1263",1,1,NA,0,"60","0",1,67,NA,1,0,0,1
"1264",1,3,NA,1,"40","40",3,64,NA,0,0,1,0
"1265",0,1,1,0,"65","35",1,63,1,1,0,0,1
"1266",0,2,2,1,"0","70",2,44,0,0,1,0,0
"1267",1,1,1,1,"85","30",3,84,1,1,0,0,0
"1268",1,1,1,1,"60","0",1,57,1,1,0,0,1
"1269",0,2,2,1,"10","80",2,68,0,0,1,0,0
"1270",0,2,NA,1,"12","54",3,38,NA,0,1,0,0
"1271",0,3,2,1,"23","62",2,60,0,0,0,1,0
"1272",0,2,2,1,"20","70",2,69,0,0,1,0,0
"1273",0,2,2,1,"50","70",2,77,0,0,1,0,0
"1274",1,3,NA,0,"50","50",1,57,NA,0,0,1,1
"1275",0,NA,2,1,"50","70",2,84,0,NA,NA,NA,0
"1276",0,3,2,0,"0","50",2,44,0,0,0,1,0
"1277",0,3,1,0,"60","70",2,65,1,0,0,1,0
"1278",0,3,NA,1,"40","15",2,73,NA,0,0,1,0
"1279",0,2,NA,1,"15","70",2,69,NA,0,1,0,0
"1280",1,1,1,0,"85","30",1,70,1,1,0,0,1
"1281",0,1,1,1,"85","15",1,66,1,1,0,0,1
"1282",1,1,NA,1,"100","0",1,68,NA,1,0,0,1
"1283",0,3,2,0,"40","40",2,68,0,0,0,1,0
"1284",0,1,1,1,"85","0",1,47,1,1,0,0,1
"1285",0,3,NA,0,"30","0",1,41,NA,0,0,1,1
"1286",0,2,NA,0,"70","90",2,41,NA,0,1,0,0
"1287",0,3,1,1,"85","40",1,71,1,0,0,1,1
"1288",0,2,2,0,"30","70",2,54,0,0,1,0,0
"1289",0,1,1,0,"45","20",3,37,1,1,0,0,0
"1290",1,1,1,0,"60","0",3,55,1,1,0,0,0
"1291",0,2,2,1,"60","70",3,61,0,0,1,0,0
"1292",0,2,2,1,"50","70",3,51,0,0,1,0,0
"1293",1,3,2,1,"60","70",2,50,0,0,0,1,0
"1294",1,3,NA,1,"40","40",1,42,NA,0,0,1,1
"1295",0,3,NA,0,"50","30",1,53,NA,0,0,1,1
"1296",0,2,2,1,"40","50",2,46,0,0,1,0,0
"1297",0,1,1,1,"80","30",1,70,1,1,0,0,1
"1298",1,3,2,1,"50","60",3,66,0,0,0,1,0
"1299",1,2,2,1,"0","100",2,56,0,0,1,0,0
"1300",0,2,2,0,"15","85",2,54,0,0,1,0,0
"1301",0,1,1,0,"70","0",3,55,1,1,0,0,0
"1302",1,3,NA,1,"50","50",1,52,NA,0,0,1,1
"1303",0,3,NA,1,"0","0",1,68,NA,0,0,1,1
"1304",1,1,1,1,"70","30",1,71,1,1,0,0,1
"1305",1,1,1,1,"85","15",1,38,1,1,0,0,1
"1306",0,NA,2,1,"0","70",2,67,0,NA,NA,NA,0
"1307",0,2,NA,1,"0","100",2,81,NA,0,1,0,0
"1308",1,3,2,1,"10","10",3,57,0,0,0,1,0
"1309",0,1,1,0,"65","10",1,61,1,1,0,0,1
"1310",0,1,1,0,"100","20",3,51,1,1,0,0,0
"1311",0,1,1,1,"60","30",1,60,1,1,0,0,1
"1312",0,1,NA,0,"90","90",2,54,NA,1,0,0,0
"1313",0,3,NA,0,"50","50",2,31,NA,0,0,1,0
"1314",1,1,1,0,"70","0",1,45,1,1,0,0,1
"1315",0,1,1,1,"85","0",1,62,1,1,0,0,1
"1316",1,2,2,1,"20","65",2,48,0,0,1,0,0
"1317",0,2,2,0,"0","90",2,52,0,0,1,0,0
"1318",0,1,NA,0,"70","30",1,64,NA,1,0,0,1
"1319",0,2,NA,1,"35","75",3,69,NA,0,1,0,0
"1320",0,3,2,1,"30","50",2,48,0,0,0,1,0
"1321",1,1,1,1,"60","0",1,53,1,1,0,0,1
"1322",1,1,2,1,"50","50",2,65,0,1,0,0,0
"1323",0,1,NA,1,"60","40",1,85,NA,1,0,0,1
"1324",0,3,1,0,"15","0",1,71,1,0,0,1,1
"1325",0,3,2,1,"40","15",3,53,0,0,0,1,0
"1326",0,2,2,1,"0","100",2,53,0,0,1,0,0
"1327",0,1,1,1,"70","15",1,46,1,1,0,0,1
"1328",1,2,2,1,"15","85",2,35,0,0,1,0,0
"1329",0,1,1,1,"85","0",1,59,1,1,0,0,1
"1330",1,3,NA,1,"30","30",1,25,NA,0,0,1,1
"1331",1,2,2,0,"30","75",2,44,0,0,1,0,0
"1332",1,1,1,0,"60","15",1,41,1,1,0,0,1
"1333",0,1,1,1,"90","10",3,64,1,1,0,0,0
"1334",1,1,NA,0,"65","10",3,19,NA,1,0,0,0
"1335",0,3,NA,1,"50","25",1,53,NA,0,0,1,1
"1336",0,2,2,1,"15","70",2,68,0,0,1,0,0
"1337",1,1,NA,0,"100","15",3,58,NA,1,0,0,0
"1338",1,1,2,0,"70","15",1,21,0,1,0,0,1
"1339",0,3,NA,1,"7","8",2,42,NA,0,0,1,0
"1340",0,1,1,1,"85","15",NA,67,1,1,0,0,NA
"1341",0,2,2,1,"15","70",2,74,0,0,1,0,0
"1342",1,1,1,1,"100","15",1,63,1,1,0,0,1
"1343",1,2,2,1,"50","65",2,62,0,0,1,0,0
"1344",0,3,NA,0,"72","10",1,30,NA,0,0,1,1
"1345",0,1,1,1,"85","40",1,68,1,1,0,0,1
"1346",1,1,1,0,"80","0",1,58,1,1,0,0,1
"1347",1,2,2,1,"50","70",2,69,0,0,1,0,0
"1348",1,2,NA,1,"15","60",2,32,NA,0,1,0,0
"1349",1,1,1,0,"85","0",1,83,1,1,0,0,1
"1350",1,2,NA,1,"15","70",2,73,NA,0,1,0,0
"1351",1,1,1,1,"92","50",3,49,1,1,0,0,0
"1352",0,1,1,0,"60","0",1,73,1,1,0,0,1
"1353",1,2,NA,1,"30","85",3,48,NA,0,1,0,0
"1354",1,1,2,1,"70","40",1,57,0,1,0,0,1
"1355",1,3,1,0,"70","30",1,46,1,0,0,1,1
"1356",0,2,1,0,"0","40",2,56,1,0,1,0,0
"1357",1,3,NA,0,"60","70",1,60,NA,0,0,1,1
"1358",1,2,2,1,"40","85",2,76,0,0,1,0,0
"1359",1,1,1,1,"65","0",1,48,1,1,0,0,1
"1360",0,3,NA,1,"0","0",3,22,NA,0,0,1,0
"1361",0,1,1,1,"60","50",1,51,1,1,0,0,1
"1362",1,3,2,1,"40","60",2,53,0,0,0,1,0
"1363",0,3,NA,0,"0","0",3,34,NA,0,0,1,0
"1364",0,3,NA,0,"40","60",3,32,NA,0,0,1,0
"1365",0,1,1,0,"60","15",3,68,1,1,0,0,0
"1366",1,2,2,1,"0","30",2,66,0,0,1,0,0
"1367",1,2,NA,0,"40","60",2,37,NA,0,1,0,0
"1368",0,1,1,1,"70","40",1,68,1,1,0,0,1
"1369",0,2,NA,1,"21","66",2,55,NA,0,1,0,0
"1370",1,1,1,0,"50","50",2,36,1,1,0,0,0
"1371",0,2,NA,0,"0","85",2,74,NA,0,1,0,0
"1372",0,3,1,0,"70","0",1,54,1,0,0,1,1
"1373",0,1,1,1,"70","15",1,81,1,1,0,0,1
"1374",0,1,1,0,"70","15",1,19,1,1,0,0,1
"1375",1,1,NA,1,"85","0",1,51,NA,1,0,0,1
"1376",1,2,NA,0,"60","100",1,23,NA,0,1,0,1
"1377",0,1,1,0,"85","15",1,43,1,1,0,0,1
"1378",1,2,2,1,"40","85",2,68,0,0,1,0,0
"1379",1,3,2,1,"30","40",2,74,0,0,0,1,0
"1380",0,3,2,1,"15","70",2,61,0,0,0,1,0
"1381",1,3,NA,1,"70","50",3,73,NA,0,0,1,0
"1382",1,3,2,1,"0","0",2,54,0,0,0,1,0
"1383",0,1,1,1,"85","15",1,48,1,1,0,0,1
"1384",0,1,1,1,"75","40",1,36,1,1,0,0,1
"1385",1,2,2,1,"15","85",2,74,0,0,1,0,0
"1386",1,3,1,1,"68","67",3,51,1,0,0,1,0
"1387",1,1,1,0,"60","1",1,48,1,1,0,0,1
"1388",1,1,1,1,"100","0",1,68,1,1,0,0,1
"1389",0,3,2,0,"40","55",2,67,0,0,0,1,0
